FuelType,TotalFuelConsumption,NetGeneration
Gas,"666,988","44,526"
Gas,"1,537,745","132,236"
Gas,0,0
Gas,0,"15,656"
Gas,"588,427","46,182"
Gas,"208,456","16,659"
Gas,"1,196,154","95,235"
Gas,"2,443,656","55,968"
Gas,"1,379,664","29,171"
Gas,"3,309,273","98,367"
Gas,"44,037","257,686"
Gas,"12,561,996","1,086,085"
Gas,0,"32,033"
Gas,"1,358,225","128,457"
Gas,0,"110,592"
Gas,"2,541,456","227,161"
Gas,"932,847","1,604,493"
Gas,"29,167,777","2,611,340"
Gas,"712,545","634,337"
Gas,"11,479,974","1,072,313"
Gas,"66,680","990,716"
Gas,"19,060,630","1,787,540"
Gas,"362,406","27,671"
Gas,0,0
Gas,"230,595","20,261"
Gas,"604,655","58,047"
Gas,"25,098","2,519"
Gas,"7,118",308
Gas,"2,073,395","160,462"
Nuclear,0,"7,302,097"
Nuclear,0,"7,867,869"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,-25
Petroleum,0,0
Petroleum,0,0
Petroleum,"10,223","5,947"
Petroleum,"67,205","38,969"
Petroleum,0,0
Petroleum,"12,322","2,278"
Coal,"6,421,536","10,786,754"
Coal,"1,751,468","2,821,627"
Coal,"6,820,983","11,377,952"
Other,"14,729","9,722"
Other,0,0
Other,"16,680","14,297"
Petroleum,"24,721","3,092"
Petroleum,0,0
Biomass,0,0
Biomass,"137,055","137,674"
Biomass,"553,817","18,355"
Biomass,"99,636","3,616"
Coal,0,0
Coal,"73,464","135,565"
Coal,0,0
Coal,"7,530,160","16,118,198"
Coal,0,0
Coal,0,0
Coal,0,0
Petroleum,"6,000","3,165"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"6,950","3,180"
Petroleum,0,0
Petroleum,0,0
Petroleum,6,-315
Petroleum,0,-147
Petroleum,0,-311
Petroleum,0,0
Petroleum,"39,039","22,485"
Petroleum,"17,756","9,852"
Petroleum,"36,981","19,571"
Petroleum,"2,336",716
Petroleum,75,39
Petroleum,55,8
Petroleum,571,312
Petroleum,"13,604","3,136"
Hydro,0,"38,748"
Hydro,"101,159","81,750"
Hydro,0,"13,712"
Hydro,"54,750","45,180"
Hydro,0,"1,119,157"
Hydro,0,"3,703,866"
Hydro,0,"42,550"
Hydro,0,"1,275,028"
Hydro,0,"197,952"
Gas,"16,310","1,359"
Gas,"46,720","2,310"
Gas,"897,550","78,728"
Gas,"75,470","344,572"
Gas,"3,470,930","332,149"
Gas,"9,699,160","843,669"
Gas,"18,570",783
Gas,"352,270","24,645"
Gas,"844,710","66,102"
Gas,"711,540","62,464"
Gas,"3,415,400","318,758"
Gas,"84,210","5,750"
Gas,"6,091,832","541,088"
Gas,"87,577","4,719"
Gas,"789,801","60,123"
Gas,"60,661","242,018"
Gas,"5,379,672","478,493"
Gas,"46,340","2,104"
Gas,0,-520
Gas,"404,006","34,009"
Gas,"164,844","8,630"
Gas,"664,930","49,130"
Gas,"544,436","50,806"
Gas,"1,563,611","1,449,193"
Gas,"2,791,207","296,927"
Gas,"24,794,644","2,235,238"
Gas,"1,421,158","690,811"
Gas,"10,612,219","973,553"
Gas,"386,451","434,449"
Gas,"7,676,377","658,473"
Gas,"2,818","727,619"
Gas,"14,945,642","1,347,820"
Gas,"88,361","295,844"
Gas,"5,697,838","513,351"
Gas,"1,505,920","2,489,617"
Gas,"45,595,445","3,883,791"
Gas,0,"1,218,917"
Gas,"22,528,138","1,881,997"
Gas,"97,450","1,476,864"
Gas,"29,511,000","2,529,494"
Gas,"3,676,222","3,011,405"
Gas,"49,451,238","4,388,475"
Gas,"1,703,890","166,981"
Gas,"62,133","5,614"
Gas,"434,429","50,477"
Gas,0,0
Gas,"1,050,524","123,310"
Gas,"59,516","104,239"
Gas,"3,245,214","267,762"
Gas,61,3
Gas,"673,711","55,313"
Gas,"166,547","11,131"
Gas,"322,764","11,593"
Nuclear,0,"11,589,724"
Nuclear,0,"9,509,521"
Nuclear,0,"9,562,606"
Other,"1,354",534
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Solar,0,423
Solar,0,529
Solar,0,201
Solar,0,"6,688"
Solar,0,"5,918"
Coal,"3,934,490","7,231,600"
Coal,0,0
Coal,"1,127,721","1,957,025"
Coal,"3,241,666","5,565,186"
Coal,"4,854,606","8,454,663"
Coal,"322,533","321,588"
Wind,0,"9,555"
Wind,0,0
Petroleum,"11,610","5,646"
Biomass,"3,105,396","74,719"
Biomass,"2,451,305","125,795"
Biomass,"352,561","344,152"
Biomass,"682,404","11,700"
Biomass,"878,986","36,764"
Biomass,"11,074,685","369,251"
Biomass,"17,720","20,362"
Biomass,"253,765","228,158"
Biomass,"142,526","169,673"
Biomass,"356,178","341,312"
Biomass,"158,731","128,401"
Biomass,"368,033","123,261"
Biomass,0,0
Biomass,"446,266","392,619"
Biomass,0,0
Biomass,"889,466","42,716"
Biomass,"3,994,176","100,191"
Biomass,"19,704,990","576,868"
Biomass,"181,405","199,193"
Biomass,"6,957,400","177,443"
Biomass,"191,840","114,750"
Biomass,"1,285,065","1,307,836"
Biomass,"1,708,890","53,135"
Biomass,"3,121,412","102,670"
Biomass,0,0
Biomass,0,0
Biomass,"769,864","22,959"
Biomass,"2,924,552","133,495"
Biomass,"645,160","12,484"
Biomass,"3,134,814","142,645"
Biomass,"1,287,898","710,077"
Coal,"385,415","781,974"
Coal,"132,827","227,457"
Coal,"643,007","372,746"
Coal,"74,200","154,181"
Coal,"39,402","50,695"
Coal,0,0
Coal,"211,346","361,226"
Petroleum,"5,142","1,477"
Petroleum,0,0
Petroleum,0,0
Petroleum,"13,183","4,318"
Petroleum,0,0
