FuelType,TotalFuelConsumption,NetGeneration
Biomass,"472,697","103,010"
Biomass,"521,300","185,234"
Biomass,"589,281","227,619"
Biomass,"609,156","246,085"
Biomass,"438,729","8,197"
Biomass,"263,083","154,496"
Biomass,"1,132,777","187,079"
Biomass,"563,156","143,666"
Biomass,"12,033",547
Biomass,0,0
Biomass,"1,966,568","66,239"
Biomass,"1,229,759","53,011"
Biomass,0,0
Biomass,"1,053,324","569,666"
Biomass,"80,538","30,405"
Biomass,"967,086","42,605"
Biomass,0,0
Biomass,"1,760,310","209,442"
Biomass,"2,613,094","605,724"
Biomass,"1,398,495","251,692"
Coal,"2,916,317","7,065,540"
Coal,"3,733,618","8,487,001"
Coal,"2,381,605","5,882,973"
Coal,"4,749,124","11,089,603"
Coal,"1,573,176","3,249,037"
Coal,"652,366","1,444,204"
Coal,"3,730,004","8,273,355"
Coal,"555,951","1,286,125"
Coal,"131,582","287,851"
Coal,"565,728","1,276,149"
Coal,"508,207","1,288,468"
Coal,0,0
Coal,0,0
Coal,0,0
Coal,0,0
Coal,"847,995","1,591,022"
Coal,"84,645","53,875"
Coal,"663,238","1,469,257"
Coal,"227,113","461,279"
Coal,"342,143","650,306"
Coal,"245,798","196,267"
Petroleum,"55,222","31,871"
Petroleum,"17,069","9,968"
Petroleum,0,0
Petroleum,0,0
Petroleum,384,318
Petroleum,"20,649","7,216"
Petroleum,0,0
Petroleum,121,104
Petroleum,"17,636","5,571"
Petroleum,682,187
Petroleum,775,631
Petroleum,0,0
Petroleum,"105,507","43,812"
Petroleum,"84,408","48,221"
Petroleum,0,"2,321"
Petroleum,"16,078","8,836"
Petroleum,"67,440","24,486"
Petroleum,52,27
Petroleum,"13,172","5,255"
Petroleum,725,343
Petroleum,"3,582","1,844"
Petroleum,"1,178",103
Petroleum,"5,047","2,760"
Petroleum,"4,315","1,432"
Petroleum,"66,710","36,587"
Petroleum,"2,100",838
Petroleum,442,229
Petroleum,0,11
Petroleum,155,39
Petroleum,120,5
Petroleum,"19,561","8,268"
Petroleum,"23,000","5,426"
Petroleum,0,0
Petroleum,0,0
Petroleum,4,1
Petroleum,13,5
Petroleum,"1,373",502
Petroleum,0,"1,601"
Petroleum,"8,868","3,792"
Petroleum,251,115
Petroleum,0,33
Petroleum,119,58
Petroleum,75,-103
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,350,291
Petroleum,"87,647","36,602"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,"21,040"
Petroleum,"49,337","28,304"
Petroleum,"9,345","4,341"
Petroleum,0,17
Petroleum,66,35
Petroleum,0,250
Petroleum,923,461
Petroleum,"12,634","6,691"
Petroleum,0,0
Petroleum,0,0
Petroleum,9,-86
Petroleum,"6,483","3,090"
Petroleum,"118,018","53,391"
Petroleum,0,0
Petroleum,"9,484","1,267"
Petroleum,"9,451","3,807"
Petroleum,"18,281","2,162"
Petroleum,0,501
Petroleum,"2,652","1,044"
Petroleum,"4,761","2,352"
Petroleum,"18,366","2,684"
Petroleum,999,579
Petroleum,"20,816","10,738"
Petroleum,670,200
Petroleum,203,114
Petroleum,"17,885","8,742"
Petroleum,"14,897","7,631"
Petroleum,0,"1,548"
Petroleum,"5,498","3,025"
Petroleum,0,0
Petroleum,"5,126","3,844"
Petroleum,0,0
Petroleum,"4,210","1,980"
Petroleum,"103,234","40,265"
Petroleum,"19,837","11,394"
Petroleum,181,82
Petroleum,8,3
Petroleum,0,0
Petroleum,110,54
Petroleum,142,78
Petroleum,"3,414","1,657"
Petroleum,0,0
Petroleum,0,0
Petroleum,"18,244","1,920"
Hydro,0,"244,526"
Petroleum,0,0
Petroleum,0,0
Other,"194,060","125,184"
Other,"140,214","163,287"
Other,"173,769","145,542"
Other,"196,428","178,851"
Other,"203,055","193,359"
Other,"821,498","445,904"
Gas,"108,732","11,759"
Gas,"13,021,473","1,218,425"
Gas,0,"-1,212"
Gas,0,0
Gas,"55,436,981","7,706,747"
Gas,0,0
Gas,"40,274,143","5,030,986"
Gas,"687,081","40,352"
Gas,"39,309","1,721"
Gas,"14,366,557","1,264,194"
Gas,"173,805","13,489"
Gas,0,0
Gas,"78,737,873","10,979,570"
Gas,0,"-2,669"
Gas,0,0
Gas,"47,398,318","6,853,486"
Gas,0,0
Gas,"3,451,489","282,557"
Gas,0,"1,024,126"
Gas,"27,156,697","2,536,970"
Gas,"3,206,171","311,713"
Gas,"3,245",292
Gas,"902,654","64,920"
Gas,"2,674,052","224,843"
Gas,"631,947","57,360"
Gas,"1,089,432","1,392,828"
Gas,"24,735,317","2,343,051"
Gas,"166,181","13,138"
Gas,"158,856","10,794"
Gas,"1,741,415","156,996"
Gas,0,"59,838"
Gas,"2,181,090","177,641"
Gas,"10,979",59
Gas,"7,238",127
Gas,"1,022,198","90,668"
Gas,"7,858,539","803,570"
Gas,0,"448,822"
Gas,"9,568,999","864,000"
Gas,"11,223","29,639"
Gas,"588,863","48,975"
Gas,"353,371","22,863"
Gas,"338,367","413,003"
Gas,"8,790,010","768,432"
Gas,"409,273","35,483"
Gas,"1,300,829","103,720"
Gas,0,"415,192"
Gas,"9,528,139","813,952"
Gas,"5,437",-141
Gas,"302,041","20,004"
Gas,0,0
Gas,"49,411,230","7,246,791"
Gas,"18,406,002","1,692,675"
Gas,0,0
Gas,"79,433,967","11,293,039"
Gas,"31,841,095","3,207,372"
Gas,"1,646,995","121,968"
Gas,0,0
Gas,"12,170,231","1,239,443"
Gas,0,0
Gas,"7,975,398","670,399"
Gas,"2,582,477","196,428"
Gas,"2,295,639","191,622"
Gas,0,"3,716,358"
Gas,"79,380,301","7,545,333"
Gas,0,"872,550"
Gas,"19,112,189","1,645,137"
Gas,"4,281,534","375,915"
Gas,0,"374,213"
Gas,"7,777,796","694,967"
Gas,"118,210","544,337"
Gas,"11,151,384","1,034,148"
Gas,"355,403","30,818"
Gas,0,0
Gas,"61,095,814","8,454,139"
Gas,0,0
Gas,"9,786,030","788,656"
Gas,"8,264,083","646,505"
Gas,0,0
Gas,"4,521,018","301,047"
Gas,"1,608,116","31,656"
Gas,"2,554,733","65,989"
Gas,"12,530",787
Gas,"779,144","20,455"
Gas,0,"260,723"
Gas,"6,201,335","470,008"
Gas,"113,045","10,796"
Gas,"253,092","22,598"
Gas,"297,132","5,463"
Gas,"3,260,267","291,843"
Gas,0,"56,070"
Gas,"1,315,639","112,571"
Gas,"5,573,778","511,528"
Gas,"2,032,688","146,519"
Gas,"509,834","949,881"
Gas,"17,191,584","1,528,408"
Gas,"10,471,116","999,149"
Gas,"892,628","80,326"
Gas,"1,888",144
Gas,"2,728,233","857,496"
Gas,"13,086,524","1,368,812"
Gas,"387,730","618,117"
Gas,"10,851,147","976,762"
Gas,0,0
Gas,"24,818,661","3,248,611"
Gas,"11,087","65,227"
Gas,"15,174,935","1,907,059"
Gas,"4,273,904","424,755"
Gas,"175,458","17,911"
Gas,"409,149","37,950"
Gas,"295,000","31,726"
Gas,"5,233",263
Gas,"154,198","167,521"
Gas,"5,421,379","673,227"
Gas,"19,870,036","1,822,664"
Gas,0,0
Gas,"15,401","2,242"
Gas,"3,748,789","22,478"
Gas,"320,515","3,798"
Gas,0,0
Gas,"3,451,411","256,804"
Gas,0,0
Gas,"1,711,586","122,420"
Nuclear,0,"5,244,189"
Nuclear,0,"5,431,193"
Nuclear,0,"5,387,737"
Nuclear,0,"7,369,210"
Nuclear,0,"5,903,730"
Gas,0,0
Gas,"25,161,251","6,787"
Other,0,"265,051"
Other,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"1,034,680","2,907,037"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Gas,153,13
Gas,0,0
Petroleum,"17,365","10,600"
Petroleum,"637,055","379,284"
Petroleum,"1,606,472","897,347"
Petroleum,"63,203","34,406"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,"-2,669"
Petroleum,"1,282,630","690,082"
Petroleum,"340,453","195,702"
Petroleum,"17,429","9,546"
Petroleum,"8,701","4,976"
Petroleum,912,302
Petroleum,"65,557","41,799"
Petroleum,362,209
Petroleum,128,-238
Petroleum,0,0
Petroleum,"1,822,066","1,049,703"
Petroleum,"2,077,167","1,304,237"
Petroleum,"1,442,909","798,828"
Petroleum,"2,592",381
Petroleum,"45,965","7,044"
Petroleum,"168,693","27,162"
Petroleum,"95,563","46,965"
Petroleum,0,0
Petroleum,0,0
Petroleum,"31,903","21,395"
Petroleum,78,37
Petroleum,"141,473","20,320"
Coal,0,0
Coal,0,0
Solar,0,"6,296"
Solar,0,"3,929"
Coal,0,0
Other,"2,164","1,636"
Other,0,0
Other,"34,895","26,291"
Other,0,"502,281"
Other,0,"379,607"
Other,0,0
Other,0,"149,802"
Petroleum,"1,835",798
Petroleum,"23,684","1,751"
Petroleum,"4,137","1,031"
Biomass,"3,185","3,068"
Biomass,"1,375,480","366,625"
Biomass,"522,628","106,481"
Biomass,"1,502,050","330,664"
Biomass,"461,345","74,755"
Biomass,"919,512","378,205"
Biomass,"186,839","52,100"
Biomass,"168,097","27,958"
Biomass,0,0
Biomass,"470,962","215,534"
Biomass,"1,013,466","238,307"
Biomass,"564,337","84,045"
Biomass,"962,039","32,087"
Biomass,0,0
Biomass,0,0
Biomass,"2,237,197","503,401"
Biomass,"164,644","3,323"
Biomass,"92,459","44,255"
Biomass,"2,263,620","470,493"
Coal,"8,563,992","21,528,807"
Coal,"1,507,985","3,402,006"
Coal,"2,604,594","6,424,339"
Coal,"865,958","2,066,954"
Coal,"9,734","22,179"
Coal,"1,875,227","4,304,454"
Coal,"422,035","923,977"
Coal,"2,905,006","7,225,960"
Coal,0,"-6,363"
Coal,0,0
Coal,"49,952","64,949"
Coal,"197,340","171,850"
Coal,0,0
Coal,"102,173","82,560"
Coal,"138,409","179,566"
Coal,"78,386","45,364"
Coal,0,0
Coal,"183,088","117,011"
Petroleum,100,24
Petroleum,"15,989","9,474"
Petroleum,"23,807","12,843"
Petroleum,"15,197","8,688"
Petroleum,245,-34
Petroleum,"3,623","1,975"
Petroleum,"22,966","7,622"
Petroleum,66,25
Petroleum,939,-971
Petroleum,"2,031",230
Petroleum,622,"-1,322"
Petroleum,"9,919","5,346"
Petroleum,13,-1
Petroleum,"1,006",-237
Petroleum,"11,632","6,815"
Petroleum,"27,142","10,096"
Petroleum,241,"-7,657"
Petroleum,"12,180","6,923"
Petroleum,"12,388","1,271"
Petroleum,101,-52
Petroleum,"8,270","3,936"
Petroleum,0,0
Petroleum,"3,196",888
Petroleum,24,5
Petroleum,"3,405","1,219"
Petroleum,0,0
Petroleum,"131,467","13,860"
Petroleum,"7,195","1,470"
Petroleum,0,0
Petroleum,"1,697",310
Petroleum,"10,977","3,354"
Petroleum,"29,882","3,562"
Petroleum,"4,374","1,470"
Petroleum,0,"1,092"
Petroleum,"6,570","3,271"
Petroleum,0,0
Petroleum,37,0
Petroleum,0,0
Petroleum,0,31
Petroleum,100,54
Petroleum,"6,755","2,902"
Petroleum,400,113
Petroleum,"3,423","2,057"
Petroleum,968,589
Petroleum,39,29
Petroleum,"12,935","5,523"
Hydro,0,"300,234"
Hydro,0,"133,740"
Hydro,0,"151,634"
Hydro,0,"482,323"
Hydro,0,"-1,528"
Hydro,"386,277","28,697"
Hydro,0,"561,193"
Hydro,"73,972","478,264"
Hydro,0,"287,005"
Hydro,"489,853","205,417"
Hydro,"1,760,609","-440,390"
Hydro,0,"1,108,856"
Hydro,0,"4,574"
Hydro,0,"27,482"
Gas,526,-48
Gas,"39,352","3,776"
Gas,"2,318,076","220,391"
Gas,"1,360",17
Gas,"809,786","73,123"
Gas,"561,577","34,877"
Gas,"2,283,903","191,107"
Gas,"62,712","5,482"
Gas,"1,478,640","133,194"
Gas,"253,197","22,439"
Gas,"676,645","53,669"
Gas,"9,626","716,151"
Gas,"15,503,724","1,490,488"
Gas,"252,766","417,404"
Gas,"7,458,631","679,196"
Gas,"666,563","31,757"
Gas,"52,398","3,296"
Gas,"432,426","10,792"
Gas,"1,800,536","34,143"
Gas,"403,014","14,350"
Gas,0,0
Gas,"95,070","8,820"
Gas,"84,235","2,968"
Gas,"1,132,673","60,543"
Gas,"1,367,000","30,414"
Gas,"890,971","71,822"
Gas,0,"5,596"
Gas,"174,310","15,349"
Gas,"21,815","1,979"
Gas,"956,554","95,577"
Gas,"42,895","3,824"
Gas,"112,604","9,013"
Gas,"139,010","13,159"
Gas,"991,350","106,647"
Gas,"518,487","46,969"
Gas,"1,490,483","888,350"
Gas,"14,562,059","1,307,664"
Gas,0,"865,877"
Gas,"16,763,203","1,565,537"
Gas,"173,498","13,847"
Gas,"1,229,982","1,416,083"
Gas,"25,311,996","2,434,418"
Gas,"2,947,770","2,688,722"
Gas,"44,247,636","4,400,501"
Gas,"460,150","39,587"
Gas,"3,510",265
Gas,"237,688","29,952"
Gas,0,0
Gas,"1,212",180
Gas,"18,722","1,533"
Gas,"1,612,364","40,224"
Nuclear,0,"9,134,998"
Nuclear,0,"10,150,926"
Nuclear,0,"7,190,012"
Nuclear,0,"5,206,643"
Other,0,0
Other,0,0
Petroleum,"276,263","482,060"
Petroleum,"4,123",137
Petroleum,0,0
Petroleum,"80,415","12,536"
Petroleum,"67,908","7,694"
Petroleum,"5,660","1,188"
Petroleum,"84,927","27,201"
Petroleum,"19,958","2,369"
Petroleum,0,0
Petroleum,"133,998","4,982"
Coal,"14,030,288","22,971,057"
Other,"24,713","22,529"
Other,"8,449","4,119"
Petroleum,327,38
Biomass,"382,210","180,067"
Biomass,"8,448","3,277"
Biomass,"354,546","106,873"
Biomass,"106,447","4,456"
Coal,"698,661","1,439,686"
Coal,"83,509","81,483"
Petroleum,0,0
Petroleum,"69,815","16,475"
Petroleum,"62,382","23,044"
Petroleum,"10,710","3,309"
Petroleum,"281,822","175,077"
Petroleum,0,"138,695"
Petroleum,"908,522","457,740"
Petroleum,"380,785","218,595"
Petroleum,0,0
Petroleum,"4,210","1,484"
Petroleum,479,261
Petroleum,"5,048",738
Petroleum,0,0
Petroleum,"52,447","20,919"
Petroleum,0,0
Petroleum,0,0
Petroleum,"193,929","78,067"
Petroleum,"148,014","86,410"
Petroleum,0,0
Petroleum,0,0
Petroleum,"1,041",548
Petroleum,"9,067","1,789"
Petroleum,"125,350","29,523"
Petroleum,29,13
Petroleum,12,0
Geothermal,0,"167,591"
Hydro,0,"30,733"
Hydro,0,"16,856"
Hydro,0,"10,204"
Hydro,0,"28,392"
Hydro,0,"6,669"
Petroleum,0,0
Petroleum,0,0
Petroleum,"160,713","32,916"
Other,"127,407","141,480"
Gas,"1,361,930","40,378"
Other,"1,346","3,192"
Petroleum,"314,774","155,109"
Petroleum,"4,737,450","2,920,002"
Petroleum,"2,359,318","1,373,141"
Petroleum,0,0
Petroleum,0,"333,903"
Petroleum,"2,087,528","1,146,267"
Petroleum,"1,189,404","529,988"
Petroleum,0,0
Petroleum,"259,412","58,624"
Solar,0,25
Coal,0,0
Other,"7,132","21,612"
Wind,0,85
Wind,0,"109,660"
Wind,0,"103,479"
Petroleum,"3,809",900
Petroleum,0,0
Petroleum,"39,406","20,183"
Petroleum,"290,882","153,868"
Petroleum,0,0
Petroleum,"626,054","307,466"
Petroleum,"20,601","3,765"
Biomass,0,-507
Biomass,"49,988","21,984"
Biomass,429,250
Biomass,"39,276","37,692"
Biomass,"4,494","1,161"
Biomass,"2,706,282","94,576"
Biomass,"143,742","11,545"
Biomass,"40,018","8,558"
Coal,"5,354","10,379"
Coal,0,-507
Coal,0,0
Coal,"2,615","3,747"
Coal,"320,547","188,960"
Coal,"24,544","13,274"
Coal,"263,071","457,395"
Coal,"209,643","127,537"
Coal,"74,684","19,388"
Petroleum,36,18
Petroleum,"5,558","2,745"
Petroleum,"33,167","13,269"
Petroleum,0,-507
Petroleum,0,0
Petroleum,"41,196","23,223"
Petroleum,0,0
Petroleum,0,0
Petroleum,488,-552
Petroleum,35,-197
Petroleum,277,-409
Petroleum,147,-478
Petroleum,"1,174",424
Petroleum,289,132
Petroleum,0,0
Petroleum,0,0
Petroleum,"12,215","6,408"
Petroleum,"2,013",535
Petroleum,102,59
Petroleum,23,-164
Petroleum,"3,885",496
Petroleum,"10,620","5,680"
Petroleum,30,-146
Petroleum,0,54
Petroleum,157,83
Petroleum,163,22
Petroleum,0,0
Petroleum,"1,833",719
Petroleum,0,0
Petroleum,1,0
Petroleum,"3,239","1,687"
Petroleum,"10,392","5,651"
Petroleum,"4,036","2,138"
Petroleum,"4,695","1,806"
Petroleum,102,65
Petroleum,49,187
Hydro,0,"733,880"
Hydro,0,"3,458"
Petroleum,724,129
Gas,"46,980",714
Gas,"254,421","4,742"
Gas,"391,967","31,118"
Gas,"80,788","8,309"
Gas,"291,703","28,551"
Gas,"3,110",190
Gas,"18,666","1,725"
Gas,0,-144
Gas,"43,800","3,119"
Gas,"20,476","1,363"
Gas,374,-281
Gas,"602,620","30,408"
Gas,"123,080","11,778"
Gas,"108,772","6,417"
Gas,0,"119,181"
Gas,"2,629,853","219,195"
Gas,"125,819","4,299"
Gas,0,"224,857"
Gas,"4,153,978","360,030"
Gas,"19,369",538
Gas,798,19
Gas,0,0
Gas,"36,125","3,352"
Gas,"418,742","35,335"
Gas,"53,431","5,328"
Gas,"572,870","36,533"
Gas,908,164
Gas,"2,251",190
Gas,"246,048","3,537"
Gas,0,0
Nuclear,0,"4,678,931"
Other,0,0
Other,0,0
Petroleum,"10,508","24,546"
Petroleum,"8,699","5,235"
Coal,0,0
Coal,"856,694","1,262,821"
Coal,"515,844","751,468"
Coal,"59,034","41,134"
Coal,"292,568","407,774"
Coal,"6,577,427","11,206,710"
Coal,"3,779,259","6,305,128"
Coal,"764,035","1,202,881"
Coal,"873,871","1,018,383"
Coal,0,-293
Coal,"2,487,180","3,753,352"
Coal,"2,964,296","4,716,958"
Coal,"2,431,599","3,974,458"
Coal,"815,990","390,925"
Coal,"1,123,685","1,511,094"
Coal,"547,572","128,877"
Other,29,40
Wind,0,"237,777"
Wind,0,"158,285"
Wind,0,"172,873"
Wind,0,"222,989"
Wind,0,"447,250"
Wind,0,"493,161"
Wind,0,"40,919"
Wind,0,"322,504"
Wind,0,"198,985"
Wind,0,"83,340"
Wind,0,"692,914"
Wind,0,"234,170"
Wind,0,"216,581"
Wind,0,"195,295"
Wind,0,"795,050"
Wind,0,"412,188"
Wind,0,"438,053"
Wind,0,"375,803"
Wind,0,"17,845"
Wind,0,"130,390"
Wind,0,"424,748"
Wind,0,"342,411"
Wind,0,"320,758"
Wind,0,"24,244"
Wind,0,"5,420"
Wind,0,"327,438"
Biomass,"89,971","38,617"
Biomass,"989,004","303,636"
Biomass,"238,334","98,700"
Biomass,"48,005","36,996"
Coal,"5,851","36,155"
Petroleum,0,0
Petroleum,267,124
Geothermal,0,"107,079"
Hydro,0,"2,406,827"
Hydro,0,"1,060,429"
Hydro,0,"1,845,254"
Hydro,0,"321,789"
Hydro,0,"3,486,003"
Hydro,0,"386,208"
Gas,"1,768,700","47,402"
Gas,"187,560","426,935"
Gas,"7,962,400","764,100"
Gas,"1,065,673","98,711"
Gas,"1,724,296","157,649"
Gas,"534,999","53,148"
Gas,"119,653","1,929"
Other,0,0
Petroleum,0,0
Coal,"130,861","36,839"
Wind,0,"227,028"
Biomass,960,461
Biomass,"20,990","2,106"
Biomass,"2,855,312","110,910"
Biomass,"6,819,853","180,499"
Biomass,"12,722,973","458,579"
Biomass,"12,254",132
Biomass,"2,987",114
Coal,0,0
Coal,"84,551","164,352"
Coal,"10,836","11,600"
Coal,0,0
Coal,"1,045,347","1,825,132"
Coal,"473,889","853,087"
Coal,"415,755","818,337"
Coal,0,0
Coal,"904,800","592,168"
Coal,"62,391","50,427"
Coal,"214,523","368,882"
Coal,0,0
Coal,"151,816","58,429"
Coal,"931,104","670,400"
Petroleum,"8,933","4,972"
Petroleum,"49,361","25,882"
Petroleum,"4,744",20
Petroleum,"1,090",360
Petroleum,0,0
Petroleum,"56,555","31,404"
Petroleum,"1,260",389
Petroleum,0,0
Petroleum,"20,390","11,777"
Petroleum,"9,478","4,662"
Petroleum,0,0
Petroleum,"9,674","4,772"
Petroleum,"4,071","2,379"
Petroleum,"5,025","2,444"
Petroleum,"24,308","9,230"
Petroleum,"11,931","6,749"
Petroleum,37,18
Petroleum,554,114
Petroleum,"2,606",-561
Petroleum,0,0
Petroleum,0,-839
Petroleum,41,20
Petroleum,412,234
Petroleum,"7,703","4,316"
Petroleum,"1,788",814
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"2,102","1,050"
Petroleum,0,0
Petroleum,255,164
Petroleum,19,6
Petroleum,0,0
Petroleum,0,0
Hydro,0,"25,205"
Hydro,0,"50,634"
Hydro,0,"69,080"
Hydro,0,"16,361"
Petroleum,116,52
Petroleum,0,0
Petroleum,0,0
Gas,"244,853","22,759"
Gas,0,"-2,930"
Gas,"683,913","80,093"
Gas,840,-202
Gas,"148,868","14,117"
Gas,"44,754","4,138"
Gas,"63,381","6,016"
Gas,"55,343","5,118"
Gas,"167,436","15,611"
Gas,"78,716","7,686"
Gas,217,21
Gas,"2,270",193
Gas,"36,219","3,536"
Gas,"10,388","1,026"
Gas,"397,321","36,596"
Gas,"67,806","5,711"
Gas,"87,779","6,589"
Gas,0,0
Gas,707,"-1,831"
Gas,"37,995","1,107"
Gas,"1,436,490","125,317"
Gas,"4,322",402
Gas,"2,115,752","189,556"
Gas,"936,224","34,541"
Gas,"287,783","23,628"
Gas,"42,361","628,586"
Gas,"13,855,245","1,188,695"
Gas,0,"44,155"
Gas,"966,514","85,698"
Gas,"1,705,330","157,342"
Gas,0,0
Gas,"93,798","6,378"
Gas,"733,295","63,816"
Gas,"14,127",-471
Gas,"336,861","1,026"
Gas,"6,194,649","472,071"
Gas,"34,954","2,712"
Gas,"206,052","16,496"
Gas,"9,718","1,027"
Gas,"121,679","11,837"
Gas,"440,185","37,214"
Gas,"455,829","35,321"
Gas,"156,902","15,074"
Gas,"44,697","3,516"
Gas,"189,172","17,391"
Gas,"64,190","72,643"
Gas,"1,621,306","128,592"
Gas,"1,296,417","112,226"
Gas,"45,005",281
Gas,"143,504","9,822"
Gas,"485,221","36,087"
Gas,"645,275","63,429"
Gas,"153,838","12,933"
Gas,"36,420","3,616"
Gas,"183,104","23,356"
Gas,0,0
Gas,0,0
Gas,"1,118,149","121,195"
Gas,0,0
Gas,0,0
Gas,0,0
Gas,"2,391",858
Gas,"5,568",64
Gas,"16,487","4,892"
Gas,"2,705","1,050"
Gas,"259,224","13,546"
Gas,"292,279","18,469"
Gas,"24,862","2,812"
Gas,"55,790","13,293"
Gas,"4,147,284","260,429"
Gas,"11,732","4,771"
Gas,"6,727,382","62,893"
Nuclear,0,"8,887,914"
Nuclear,0,"6,902,624"
Nuclear,0,"7,364,789"
Nuclear,0,"6,230,783"
Nuclear,0,"6,909,374"
Nuclear,0,"9,826,252"
Nuclear,0,"9,401,725"
Nuclear,0,"9,609,385"
Nuclear,0,"10,108,888"
Nuclear,0,"9,700,712"
Nuclear,0,"9,108,036"
Gas,0,32
Gas,"158,851","12,187"
Gas,0,0
Gas,"627,059","17,583"
Gas,"1,744,469",707
Other,0,0
Other,0,0
Other,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"1,310",452
Petroleum,0,0
Petroleum,0,0
Coal,0,0
Coal,"3,790,190","6,170,034"
Coal,"2,869,904","4,887,741"
Coal,"2,498,024","4,027,990"
Coal,"318,787","511,068"
Coal,"1,531,424","2,513,846"
Coal,"811,962","1,306,539"
Coal,"4,224,227","6,843,562"
Coal,"5,813,360","9,329,690"
Coal,"2,568,340","4,155,872"
Coal,"3,118,919","5,079,991"
Coal,"1,001,069","1,653,572"
Coal,"4,262,848","6,892,623"
Coal,"7,281,194","12,393,684"
Coal,"1,386,108","2,018,405"
Coal,"1,270,133","2,139,548"
Coal,"1,988,950","3,431,698"
Coal,0,0
Coal,"662,263","1,096,755"
Coal,"4,604,471","7,976,947"
Coal,0,0
Coal,"1,131,226","581,392"
Coal,"1,084,827","1,655,577"
Other,0,0
Other,"12,353","10,138"
Other,"23,931","54,155"
Coal,"590,610","869,663"
Wind,0,"76,195"
Wind,0,"150,792"
Wind,0,"570,571"
Wind,0,"579,853"
Wind,0,"184,212"
Wind,0,"134,165"
Wind,0,"105,658"
Wind,0,"274,840"
Wind,0,"55,182"
Wind,0,"3,853"
Wind,0,"625,832"
Gas,"84,976,506","286,061"
Gas,"19,137,009","30,758"
Gas,"184,806,130","501,499"
Gas,0,0
Gas,"155,289,456","307,776"
Biomass,"7,349,122","221,245"
Biomass,"470,017","22,997"
Biomass,"792,773","19,186"
Coal,"1,161,713","2,227,321"
Coal,"676,844","1,422,862"
Coal,"1,783,189","3,822,164"
Coal,"548,714","1,022,133"
Coal,"5,137,697","11,020,005"
Coal,"1,146,280","2,370,043"
Coal,"120,928","300,600"
Coal,"2,393,527","5,187,509"
Coal,"35,077","41,807"
Coal,"839,443","1,818,721"
Coal,"1,609,012","3,340,995"
Coal,"775,722","1,501,387"
Coal,"731,704","1,581,228"
Coal,"2,023,324","4,105,003"
Coal,"8,691,426","18,878,607"
Coal,"1,073,131","2,063,952"
Coal,"1,394,501","2,543,578"
Coal,"3,549,562","7,566,063"
Coal,"2,223,793","4,401,253"
Coal,"234,714","77,974"
Coal,"371,532","622,876"
Coal,"173,184","1,344"
Coal,"62,336","37,716"
Coal,"98,850","42,181"
Petroleum,"11,443","6,281"
Petroleum,"19,132","10,329"
Petroleum,"1,298",-421
Petroleum,6,26
Petroleum,"11,516","6,278"
Petroleum,175,97
Petroleum,"7,396","3,702"
Petroleum,112,51
Petroleum,"34,119","18,878"
Petroleum,932,486
Petroleum,"8,516","4,797"
Petroleum,0,-208
Petroleum,"1,661",-91
Petroleum,131,-377
Petroleum,"46,468","23,478"
Petroleum,0,0
Petroleum,0,0
Petroleum,"1,009",552
Petroleum,"7,957","4,323"
Petroleum,"3,683","2,039"
Petroleum,"41,163","23,174"
Petroleum,0,0
Petroleum,"30,228","18,113"
Petroleum,"16,100","8,958"
Petroleum,0,0
Petroleum,62,17
Petroleum,0,0
Petroleum,0,0
Petroleum,117,54
Petroleum,91,50
Petroleum,"1,207",562
Petroleum,"1,880",2
Petroleum,68,25
Petroleum,267,100
Petroleum,"4,000",672
Petroleum,201,107
Hydro,0,"406,732"
Hydro,0,"113,529"
Coal,0,0
Other,"384,471","18,471"
Gas,"179,308","17,314"
Gas,"103,031","5,380"
Gas,"8,894",392
Gas,"209,198","18,291"
Gas,"224,056","8,768"
Gas,"16,444","1,199"
Gas,0,0
Gas,"1,172,918","130,671"
Gas,0,0
Gas,0,0
Gas,"486,092","44,227"
Gas,"76,438","3,307"
Gas,"537,478","48,063"
Gas,"238,735","19,136"
Gas,"314,402","27,324"
Gas,"122,223","11,679"
Gas,"66,498","3,324"
Gas,"229,223","21,772"
Gas,"3,549,707","132,402"
Gas,"2,973,377","25,534"
Gas,"42,378",697
Gas,"1,685,347","53,078"
Gas,"563,652","37,049"
Gas,"142,736","13,627"
Gas,0,0
Gas,"241,939","19,456"
Gas,0,0
Gas,"385,335","31,434"
Gas,"2,632,749","236,836"
Gas,"14,245,253","1,020,653"
Gas,"59,588","276,816"
Gas,"5,316,994","447,863"
Gas,0,"207,736"
Gas,"4,050,435","345,518"
Gas,"750,670","57,515"
Gas,"6,650",585
Gas,0,0
Gas,0,0
Gas,"1,987,170","157,189"
Gas,"1,569,442","5,792"
Gas,0,0
Gas,"909,928","29,115"
Gas,558,33
Gas,"8,879,668","309,205"
